Profile,Stage,Stems
BOSTON1003,6,2
BOSTON1003,7,12
BOSTON1003,8,12
BOSTON1003,9,4
WilliamRowden01,6,10
WilliamRowden01,7,19
WilliamRowden01,8,1
WilliamRowden04,6,8
WilliamRowden04,7,18
WilliamRowden04,8,4
WilliamRowden05,4,1
WilliamRowden05,5,2
WilliamRowden05,6,13
WilliamRowden05,7,13
WilliamRowden05,8,1
WilliamRowden07,5,2
WilliamRowden07,6,17
WilliamRowden07,7,11
WilliamRowden08,6,5
WilliamRowden08,7,16
WilliamRowden08,8,9
WilliamRowden09,5,5
WilliamRowden09,6,19
WilliamRowden09,7,6
WilliamRowden10,4,3
WilliamRowden10,5,2
WilliamRowden10,6,8
WilliamRowden10,7,15
WilliamRowden10,8,2
WilliamRowden11,6,2
WilliamRowden11,7,15
WilliamRowden11,8,12
WilliamRowden11,9,1
WilliamRowden12,4,1
WilliamRowden12,5,3
WilliamRowden12,6,11
WilliamRowden12,7,11
WilliamRowden12,8,4
WilliamRowden13,5,12
WilliamRowden13,6,13
WilliamRowden13,7,5
WilliamRowden14,4,6
WilliamRowden14,5,11
WilliamRowden14,6,11
WilliamRowden14,7,1
WilliamRowden14,8,1
WilliamRowden15,6,10
WilliamRowden15,7,18
WilliamRowden15,8,2
WilliamRowden16,4,5
WilliamRowden16,5,4
WilliamRowden16,6,13
WilliamRowden16,7,7
WilliamRowden16,8,1
WilliamRowden17,4,1
WilliamRowden17,5,2
WilliamRowden17,6,17
WilliamRowden17,7,10
WilliamRowden18,5,10
WilliamRowden18,6,16
WilliamRowden18,7,4
FALLVIRTUAL202005,4,1
FALLVIRTUAL202005,7,10
FALLVIRTUAL202005,8,17
FALLVIRTUAL202005,9,2
