Profile,Year,Consultant,ACN,SIQ,Client,Rating,Modifier
BOSTON1003,2017,TRUE,TRUE,TRUE,TRUE,8,0.5
WilliamRowden01,2018,TRUE,TRUE,TRUE,TRUE,7,0
WilliamRowden04,2018,TRUE,TRUE,TRUE,TRUE,7,0
WilliamRowden05,2018,TRUE,TRUE,TRUE,TRUE,7,0
WilliamRowden07,2018,TRUE,TRUE,TRUE,TRUE,7,-0.5
WilliamRowden08,2018,TRUE,FALSE,FALSE,FALSE,8,-0.5
WilliamRowden09,2018,TRUE,TRUE,FALSE,TRUE,6,0.5
WilliamRowden10,2018,TRUE,TRUE,TRUE,TRUE,7,0
WilliamRowden11,2018,TRUE,TRUE,TRUE,TRUE,8,0
WilliamRowden12,2018,TRUE,TRUE,TRUE,TRUE,7,0.5
WilliamRowden13,2018,FALSE,FALSE,FALSE,TRUE,6,0
WilliamRowden14,2018,TRUE,TRUE,TRUE,TRUE,6,-0.5
WilliamRowden15,2018,TRUE,TRUE,TRUE,TRUE,7,0
WilliamRowden16,2018,TRUE,TRUE,TRUE,TRUE,6,0.5
WilliamRowden17,2018,TRUE,TRUE,TRUE,TRUE,7,-0.5
WilliamRowden18,2018,FALSE,TRUE,TRUE,TRUE,6,0
WilliamRowden19,2019,TRUE,TRUE,TRUE,FALSE,7,0
FALLVIRTUAL202005,2020,TRUE,TRUE,TRUE,FALSE,8,0
